 Hemisphere(NH=1_SH=2)  Month   Pressure    CO_Climatology
           1           7   477.960999       6.96480029E-08
           1           7   496.630005       6.96940035E-08
           1           7   515.719971       6.97489995E-08
           1           7   535.231995       6.98340017E-08
           1           7   555.166992       6.99279994E-08
           1           7   575.525024       7.00529981E-08
           1           7   596.306030       7.02329999E-08
           1           7   617.510986       7.05630043E-08
           1           7   639.140015       7.10630061E-08
           1           7   661.192017       7.16700015E-08
           1           7   683.666992       7.22740054E-08
           1           7   706.565002       7.28249958E-08
           1           7   729.885986       7.32480032E-08
           1           7   753.627991       7.36050012E-08
           1           7   777.789978       7.38619974E-08
           1           7   802.370972       7.39810062E-08
           1           7   827.370972       7.39970005E-08
           1           7   852.788025       7.39889998E-08
           1           7   878.619995       7.38220010E-08
           1           7   904.866028       7.38840029E-08
           1           7   931.523987       7.38389971E-08
           1           7   958.591003       7.38130055E-08
           1           7   986.067017       7.37990007E-08
           1           7   1013.94800       7.37939985E-08
           1           7   1042.23206       7.37689945E-08
           1           7   1070.91699       7.37939985E-08
           1           7   1100.00000       7.38669996E-08
           1           8   1.60000008E-02   1.75132197E-06
           1           8   3.79999988E-02   6.52200015E-07
           1           8   7.69999996E-02   3.13632995E-07
           1           8  0.136999995       1.98205996E-07
           1           8  0.224000007       1.32750003E-07
           1           8  0.344999999       9.31949984E-08
           1           8  0.505999982       6.91480011E-08
