 Lat   Pressure    CH4_Climatology
  -85.0000000       110.239998       1541.90210    
  -85.0000000       117.779999       1562.18774    
  -85.0000000       125.650002       1581.00708    
  -85.0000000       133.850006       1598.55884    
  -85.0000000       142.380005       1615.06836    
  -85.0000000       151.270004       1630.82520    
  -85.0000000       160.500000       1645.99609    
  -85.0000000       170.080002       1660.77161    
  -85.0000000       180.020004       1675.23840    
  -85.0000000       190.320007       1689.32349    
  -85.0000000       200.990005       1702.79297    
  -85.0000000       212.029999       1715.21033    
  -85.0000000       223.440002       1726.03760    
  -85.0000000       235.229996       1734.78174    
  -85.0000000       247.410004       1741.18030    
  -85.0000000       259.970001       1745.33459    
  -85.0000000       272.920013       1747.70215    
  -85.0000000       286.260010       1748.90833    
  -85.0000000       300.000000       1749.49414    
  -85.0000000       314.140015       1749.80408    
  -85.0000000       328.670013       1749.99084    
  -85.0000000       343.619995       1750.11157    
  -85.0000000       358.970001       1750.18677    
  -85.0000000       374.720001       1750.21936    
  -85.0000000       390.890015       1750.22766    
  -85.0000000       407.470001       1750.21350    
  -85.0000000       424.470001       1750.18933    
  -85.0000000       441.880005       1750.16089    
  -85.0000000       459.709991       1750.13843    
  -85.0000000       477.959991       1750.12756    
  -85.0000000       496.630005       1750.13171    
  -85.0000000       515.719971       1750.16003    
  -85.0000000       535.229980       1750.21594    
  -85.0000000       555.169983       1750.30859    
  -85.0000000       575.530029       1750.43884    
  -85.0000000       596.309998       1750.61414    
  -85.0000000       617.510010       1750.83875    
  -85.0000000       639.140015       1751.11755    
  -85.0000000       661.190002       1751.45239    
  -85.0000000       683.669983       1751.84668    
  -85.0000000       706.570007       1752.30786    
  -85.0000000       729.890015       1752.83264    
  -85.0000000       753.630005       1753.42871    
  -85.0000000       777.789978       1754.10022    
  -85.0000000       802.369995       1754.84473    
  -85.0000000       827.369995       1755.66833    
  -85.0000000       852.789978       1756.57190    
  -85.0000000       878.619995       1757.55798    
  -85.0000000       904.869995       1758.62939    
  -85.0000000       931.520020       1759.78284    
  -85.0000000       958.590027       1761.02856    
  -85.0000000       986.070007       1762.35999    
  -85.0000000       1013.90002       1763.77905    
  -85.0000000       1042.19995       1765.29199    
  -85.0000000       1070.90002       1766.90039    
  -85.0000000       1100.00000       1768.59729    
  -84.0000000       1.60000008E-02   161.976196    
  -84.0000000       3.79999988E-02   163.714478    
  -84.0000000       7.69999996E-02   164.655273    
  -84.0000000      0.136999995       164.639648    
  -84.0000000      0.224000007       163.958008    
  -84.0000000      0.344999999       163.251709    
  -84.0000000      0.505999982       163.443970    
  -84.0000000      0.713999987       165.536621    
  -84.0000000      0.975000024       170.402222    
  -84.0000000       1.29700005       178.723633    
  -84.0000000       1.68700004       190.913574    
  -84.0000000       2.15300012       207.203247    
  -84.0000000       2.70099998       227.589722    
  -84.0000000       3.33999991       252.079224    
  -84.0000000       4.07700014       280.535889    
  -84.0000000       4.92000008       312.820923    
  -84.0000000       5.87799978       348.786377    
  -84.0000000       6.95699978       388.134888    
  -84.0000000       8.16499996       430.601196    
  -84.0000000       9.51200008       475.935669    
  -84.0000000       11.0039997       523.710144    
  -84.0000000       12.6490002       573.531372    
  -84.0000000       14.4560003       625.006897    
  -84.0000000       16.4319992       677.683594    
  -84.0000000       18.5849991       731.137390    
  -84.0000000       20.9220009       784.941345    
  -84.0000000       23.4529991       838.757812    
  -84.0000000       26.1830006       892.170471    
  -84.0000000       29.1210003       944.879150    
  -84.0000000       32.2739983       996.576599    
  -84.0000000       35.6510010       1047.01953    
  -84.0000000       39.2570000       1095.93274    
  -84.0000000       43.0999985       1143.12256    
  -84.0000000       47.1879997       1188.42957    
  -84.0000000       51.5279999       1231.70422    
  -84.0000000       56.1259995       1272.83655    
  -84.0000000       60.9889984       1311.74695    
  -84.0000000       66.1250000       1348.40503    
  -84.0000000       71.5400009       1382.78735    
  -84.0000000       77.2399979       1414.89978    
  -84.0000000       83.2310028       1444.78296    
  -84.0000000       89.5199966       1472.49829    
  -84.0000000       96.1139984       1498.13843    
  -84.0000000       103.019997       1521.81738    
  -84.0000000       110.239998       1543.65723    
  -84.0000000       117.779999       1563.83179    
  -84.0000000       125.650002       1582.53345    
  -84.0000000       133.850006       1599.97144    
  -84.0000000       142.380005       1616.36865    
  -84.0000000       151.270004       1632.00439    
  -84.0000000       160.500000       1647.05518    
  -84.0000000       170.080002       1661.70215    
  -84.0000000       180.020004       1676.03821    
  -84.0000000       190.320007       1689.98938    
  -84.0000000       200.990005       1703.32288    
  -84.0000000       212.029999       1715.61365    
  -84.0000000       223.440002       1726.32556    
  -84.0000000       235.229996       1734.97546    
  -84.0000000       247.410004       1741.30432    
  -84.0000000       259.970001       1745.41455    
  -84.0000000       272.920013       1747.75708    
  -84.0000000       286.260010       1748.94910    
  -84.0000000       300.000000       1749.52759    
  -84.0000000       314.140015       1749.83264    
  -84.0000000       328.670013       1750.01587    
  -84.0000000       343.619995       1750.13159    
  -84.0000000       358.970001       1750.20349    
  -84.0000000       374.720001       1750.23267    
  -84.0000000       390.890015       1750.23608    
  -84.0000000       407.470001       1750.22021    
  -84.0000000       424.470001       1750.19263    
  -84.0000000       441.880005       1750.16174    
  -84.0000000       459.709991       1750.13501    
  -84.0000000       477.959991       1750.12170    
  -84.0000000       496.630005       1750.12256    
  -84.0000000       515.719971       1750.14758    
  -84.0000000       535.229980       1750.20020    
  -84.0000000       555.169983       1750.29028    
  -84.0000000       575.530029       1750.41968    
  -84.0000000       596.309998       1750.59241    
  -84.0000000       617.510010       1750.81445    
  -84.0000000       639.140015       1751.08752    
  -84.0000000       661.190002       1751.42236    
  -84.0000000       683.669983       1751.81409    
  -84.0000000       706.570007       1752.27197    
  -84.0000000       729.890015       1752.79248    
  -84.0000000       753.630005       1753.38940    
